rang,code_etabl,etablissement,type_etabl,code_dren,lib_dren,inscrits,presents,admis,taux_taux_2022,taux_taux_2021
1,653,LYCEE SCIENTIFIQUE YAMOUSSOUKRO,PUBLIC,20,YAMOUSSOUKRO,216,216,216,100.0,100.0
2,41607,ECOLE SECONDAIRE MAKORE / BINGERVILLE,PRIVE,12,ABIDJAN 1,22,22,22,100.0,91.67
4,58140,GROUPE SCOLAIRE IFORAS,PRIVE,12,ABIDJAN 1,8,8,8,100.0,41.18
3,39698,ECOLE SECONDAIRE ETIMOE / BINGERVILLE,PRIVE,12,ABIDJAN 1,9,9,9,100.0,100.0
5,310715,COLLEGE PRIVE TECHNIQUE HARMATTAN D'ANYAMA,PRIVE,41,ABIDJAN 4,3,3,3,100.0,0.0
6,197525,LYCEE D'EXCELLENCE ALASSANE OUATTARA DE GRAND-BASSAM,PUBLIC,51,GRAND BASSAM,102,102,101,99.02,0.0
7,405,LYCEE SAINTE MARIE ABIDJAN,PUBLIC,12,ABIDJAN 1,183,181,179,98.9,98.86
8,350,INSTITUT LIBANAIS D'ENSEIGNEMENT TREICHVILLE,PRIVE,31,ABIDJAN 2,54,54,53,98.15,97.06
9,412,E.M.P.T BINGERVILLE,PUBLIC,12,ABIDJAN 1,81,81,77,95.06,83.95
10,54593,COLLEGE PRIVE FLEUR DE LYS DE BINGERVILLE,PRIVE,12,ABIDJAN 1,13,13,12,92.31,0.0
11,278,COLLEGE NOTRE DAME D'AFRIQUE BIETRY,PRIVE,31,ABIDJAN 2,226,225,200,88.89,92.39
12,10993,COLLEGE SAINT VIATEUR COCODY,PRIVE,12,ABIDJAN 1,233,232,206,88.79,88.93
13,542,COLLEGE DON BOSCO KORHOGO,PRIVE,16,KORHOGO,165,165,145,87.88,80.41
14,39689,COLLEGE CATHOLIQUE SAINT PAUL DE M'BADON,PRIVE,12,ABIDJAN 1,91,91,79,86.81,89.61
15,35265,COLLEGE CATHOLIQUE PERE GUILLAUME AYAME,PRIVE,21,ABOISSO,53,53,46,86.79,36.96
16,219,INSTITUT RAGGI ANNE MARIE (IRMA) GRAND-BASSAM,PRIVE,51,GRAND BASSAM,81,80,68,85.0,69.12
17,190289,COLLEGE INTERNATIONAL FRED ET POPEE COCODY,PRIVE,12,ABIDJAN 1,19,19,16,84.21,66.67
18,25012,COLLEGE NOTRE DAME DE LA PAIX RIVIERA,PRIVE,12,ABIDJAN 1,43,43,36,83.72,0.0
19,198231,COLLEGE PRIVE KOUNANDRI D'OUANGOLO,PRIVE,48,FERKESSEDOUGOU,6,6,5,83.33,0.0
20,13100,LYCEE D'ENSEIGNEMENT ARTISTIQUE ABIDJAN,PUBLIC,12,ABIDJAN 1,90,90,75,83.33,88.03
