annee,niveau,etablissements,eleves,enseignants,pct_filles,pct_redoublement,ratio_eleves_enseignant,eleves_par_etablissement
2010-2011,Primaire,11638.0,2704458,65228.0,45.34,20.28,41.46,232.38
2011-2012,Primaire,12482.0,2920791,70016.0,45.69,19.64,41.72,234.0
2012-2013,Primaire,12916.0,3021417,73691.0,46.13,20.22,41.0,233.93
2013-2014,Primaire,13785.0,3176874,74703.0,46.37,18.94,42.53,230.46
2014-2015,Primaire,14857.0,3370558,80155.0,46.71,15.21,42.05,226.87
2015-2016,Primaire,15547.0,3617219,85109.0,47.14,12.67,42.5,232.66
2016-2017,Primaire,16324.0,3772136,88900.0,47.54,11.05,42.43,231.08
2017-2018,Primaire,16957.0,3900222,93257.0,47.9,10.59,41.82,230.01
2018-2019,Primaire,17615.0,4003884,96255.0,48.26,8.44,41.6,227.3
2019-2020,Primaire,18258.0,4101430,101085.0,48.33,9.22,40.57,224.64
2020-2021,Primaire,18757.0,4102825,100263.0,48.57,8.29,40.92,218.74
2021-2022,Primaire,19132.0,4252503,101670.0,48.65,15.56,41.83,222.27
2024-2025,Primaire,20475.0,5056647,107333.0,49.79,13.68,47.11,246.97
2008-2009,Secondaire,829.0,929606,28581.0,38.08,15.36,32.53,1121.36
2010-2011,Secondaire,1206.0,1126835,26793.0,40.29,14.63,42.06,934.36
2012-2013,Secondaire,,1215672,,39.88,18.14,,
2013-2014,Secondaire,,1321556,,40.48,18.28,,
2014-2015,Secondaire,1373.0,1479005,,40.79,15.36,,1077.21
2015-2016,Secondaire,1479.0,1621874,,41.44,12.56,,1096.6
2016-2017,Secondaire,1641.0,1791183,,42.3,12.14,,1091.52
2017-2018,Secondaire,1778.0,1923763,,43.19,11.94,,1081.98
2018-2019,Secondaire,2019.0,2110499,,43.99,12.7,,1045.32
2019-2020,Secondaire,2331.0,1711369,,45.9,9.37,,734.18
2020-2021,Secondaire,2737.0,1846903,,46.84,11.4,,674.79
2023-2024,Secondaire,3901.0,3214615,98186.0,48.84,13.51,32.74,824.05
